OBJECTID,Join_Count,TARGET_FID,id,region,zone,name,lat,long,quality,frequency,direction,type,experience,BUFF_DIST,ORIG_FID,OBJECTID_1,FID_1,cod_icao,nm_municip,TipoAero,nome,largura_m,num_pista,uf,altitude,extensao,cod_uso,pavimento,GEOCODIGO,Shape_Leng,Shape_Area
64,1,64,156,Nordeste,NA,Bessa,-7.091138000000000,-34.832765000000002,NA,NA,NA,NA,NA,10000.000000000000000,64,64,148,SNJO,João Pessoa,Nacional,Aeroclube,30.000000000000000,1,PB,5.000000000000000,1050.000000000000000,Public,asfalto ou concreto Asfáltico,2507507.000000000000000,62831.853071795863798,314159265.358979284763336
65,0,65,157,Nordeste,NA,Saji,-6.466880000000000,-34.970449000000002,NA,NA,NA,NA,NA,10000.000000000000000,65,65,,,,,,,,,,,,,,62831.853071795863798,314159265.358979284763336
66,0,66,158,Nordeste,NA,Farol,-6.408908000000000,-34.979016999999999,NA,NA,NA,NA,NA,10000.000000000000000,66,66,,,,,,,,,,,,,,62831.853071795863798,314159265.358979284763336
67,0,67,159,Nordeste,NA,Xilauzinho,-6.395101000000000,-34.983204999999998,NA,NA,NA,NA,NA,10000.000000000000000,67,67,,,,,,,,,,,,,,62831.853071795863798,314159265.358979284763336
68,0,68,160,Nordeste,NA,Mar Aberto,-6.379758000000000,-34.989437000000002,NA,NA,NA,NA,NA,10000.000000000000000,68,68,,,,,,,,,,,,,,62831.853071795863798,314159265.358979284763336
69,0,69,161,Nordeste,NA,Pontal,-6.368680000000000,-34.993423999999997,NA,NA,NA,NA,NA,10000.000000000000000,69,69,,,,,,,,,,,,,,62831.853071795863798,314159265.358979284763336
70,0,70,162,Nordeste,NA,Mar da Frente,-6.365217000000000,-35.006211999999998,NA,NA,NA,NA,NA,10000.000000000000000,70,70,,,,,,,,,,,,,,62831.853071795863798,314159265.358979284763336
71,0,71,163,Nordeste,NA,Lajinha,-6.278960000000000,-35.033028000000002,NA,NA,NA,NA,NA,10000.000000000000000,71,71,,,,,,,,,,,,,,62831.853071795863798,314159265.358979284763336
72,0,72,164,Nordeste,NA,Afogados,-6.244350000000000,-35.036464000000002,NA,NA,NA,NA,NA,10000.000000000000000,72,72,,,,,,,,,,,,,,62831.853071795863798,314159265.358979284763336
73,0,73,165,Nordeste,NA,Sororoca,-6.238074000000000,-35.035608000000003,NA,NA,NA,NA,NA,10000.000000000000000,73,73,,,,,,,,,,,,,,62831.853071795863798,314159265.358979284763336
74,0,74,166,Nordeste,NA,Abacateiro,-6.233891000000000,-35.036746999999998,NA,NA,NA,NA,NA,10000.000000000000000,74,74,,,,,,,,,,,,,,62831.853071795863798,314159265.358979284763336
75,0,75,167,Nordeste,NA,Tibau do Sul,-6.180279000000000,-35.089708999999999,NA,NA,NA,NA,NA,10000.000000000000000,75,75,,,,,,,,,,,,,,62831.853071795863798,314159265.358979284763336
76,0,76,168,Nordeste,NA,Tabatinga,-6.049479000000000,-35.108238000000000,NA,NA,NA,NA,NA,10000.000000000000000,76,76,,,,,,,,,,,,,,62831.853071795863798,314159265.358979284763336
77,0,77,169,Nordeste,NA,Xoxoline,-6.005800000000000,-35.105258999999997,NA,NA,NA,NA,NA,10000.000000000000000,77,77,,,,,,,,,,,,,,62831.853071795863798,314159265.358979284763336
78,0,78,170,Nordeste,NA,Pirangi Reef,-5.980259000000000,-35.107796000000000,NA,NA,NA,NA,NA,10000.000000000000000,78,78,,,,,,,,,,,,,,62831.853071795863798,314159265.358979284763336
79,0,79,171,Nordeste,NA,Cotovelo,-5.949906000000000,-35.151975000000000,NA,NA,NA,NA,NA,10000.000000000000000,79,79,,,,,,,,,,,,,,62831.853071795863798,314159265.358979284763336
80,0,80,172,Nordeste,NA,Miami,-5.794834000000000,-35.181663999999998,NA,NA,NA,NA,NA,10000.000000000000000,80,80,,,,,,,,,,,,,,62831.853071795863798,314159265.358979284763336
81,0,81,173,Nordeste,NA,Areia Preta,-5.792249000000000,-35.184387000000001,NA,NA,NA,NA,NA,10000.000000000000000,81,81,,,,,,,,,,,,,,62831.853071795863798,314159265.358979284763336
82,0,82,174,Nordeste,NA,Praia dos Artistas,-5.781239000000000,-35.192050000000002,NA,NA,NA,NA,NA,10000.000000000000000,82,82,,,,,,,,,,,,,,62831.853071795863798,314159265.358979284763336
83,0,83,175,Nordeste,NA,Genipabu,-5.694407000000000,-35.201922000000003,NA,NA,NA,NA,NA,10000.000000000000000,83,83,,,,,,,,,,,,,,62831.853071795863798,314159265.358979284763336
84,0,84,176,Nordeste,NA,Touros Area,-5.197434000000000,-35.457929999999998,NA,NA,NA,NA,NA,10000.000000000000000,84,84,,,,,,,,,,,,,,62831.853071795863798,314159265.358979284763336
85,0,85,177,Nordeste,NA,Urca da Concei&ccedil;&atilde;o,-5.069617000000000,-35.800230999999997,NA,NA,NA,NA,NA,10000.000000000000000,85,85,,,,,,,,,,,,,,62831.853071795863798,314159265.358979284763336
86,0,86,178,Nordeste,NA,Cocoa das Lavadeiras,-5.066515000000000,-35.862005000000003,NA,NA,NA,NA,NA,10000.000000000000000,86,86,,,,,,,,,,,,,,62831.853071795863798,314159265.358979284763336
87,1,87,179,Nordeste,NA,Baia das Ratas,-3.813000000000000,-32.393000000000001,NA,NA,NA,NA,NA,10000.000000000000000,87,87,153,SBFN,Fernando de Noronha,Nacional,Fernando de Noronha,45.000000000000000,1,PE,58.000000000000000,1845.000000000000000,Public,asfalto ou concreto Asfáltico,2605459.000000000000000,62831.853071795863798,314159265.358979284763336
88,1,88,180,Nordeste,NA,Volta da Jurema,-3.724294000000000,-38.496071999999998,NA,NA,NA,NA,NA,10000.000000000000000,88,88,2621,SBFZ,Fortaleza,Internacional,Pinto Martins,45.000000000000000,1,CE,25.000000000000000,2545.000000000000000,Public,asfalto ou concreto Asfáltico,2304400.000000000000000,62831.853071795863798,314159265.358979284763336
89,1,89,181,Nordeste,NA,Portao,-3.719326000000000,-38.510655000000000,NA,NA,NA,NA,NA,10000.000000000000000,89,89,2621,SBFZ,Fortaleza,Internacional,Pinto Martins,45.000000000000000,1,CE,25.000000000000000,2545.000000000000000,Public,asfalto ou concreto Asfáltico,2304400.000000000000000,62831.853071795863798,314159265.358979284763336
90,0,90,182,Nordeste,NA,Barra do Ceara,-3.692659000000000,-38.584716000000000,NA,NA,NA,NA,NA,10000.000000000000000,90,90,,,,,,,,,,,,,,62831.853071795863798,314159265.358979284763336
91,0,91,183,Nordeste,NA,Praia do Pecem,-3.546170000000000,-38.806919000000001,NA,NA,NA,NA,NA,10000.000000000000000,91,91,,,,,,,,,,,,,,62831.853071795863798,314159265.358979284763336
92,0,92,184,Nordeste,NA,Tabinha,-3.500935000000000,-38.911282000000000,NA,NA,NA,NA,NA,10000.000000000000000,92,92,,,,,,,,,,,,,,62831.853071795863798,314159265.358979284763336
93,0,93,185,Nordeste,NA,Pedra do Meio,-3.410858000000000,-39.040807000000001,NA,NA,NA,NA,NA,10000.000000000000000,93,93,,,,,,,,,,,,,,62831.853071795863798,314159265.358979284763336
94,0,94,186,Nordeste,NA,Havaizinho,-3.403507000000000,-39.022171000000000,NA,NA,NA,NA,NA,10000.000000000000000,94,94,,,,,,,,,,,,,,62831.853071795863798,314159265.358979284763336
95,0,95,187,Nordeste,NA,Curral,-3.403353000000000,-39.025868000000003,NA,NA,NA,NA,NA,10000.000000000000000,95,95,,,,,,,,,,,,,,62831.853071795863798,314159265.358979284763336
96,0,96,188,Nordeste,NA,Outside,-3.398539000000000,-39.013306000000000,NA,NA,NA,NA,NA,10000.000000000000000,96,96,,,,,,,,,,,,,,62831.853071795863798,314159265.358979284763336
97,0,97,189,Nordeste,NA,Atins,-2.555789000000000,-42.727836000000003,NA,NA,NA,NA,NA,10000.000000000000000,97,97,,,,,,,,,,,,,,62831.853071795863798,314159265.358979284763336
98,0,98,190,Nordeste,NA,Ponta d'Areia,-2.497384000000000,-44.311779000000001,NA,NA,NA,NA,NA,10000.000000000000000,98,98,,,,,,,,,,,,,,62831.853071795863798,314159265.358979284763336
99,0,99,191,Nordeste,NA,S&atilde;o Marcos,-2.485445000000000,-44.297899999999998,NA,NA,NA,NA,NA,10000.000000000000000,99,99,,,,,,,,,,,,,,62831.853071795863798,314159265.358979284763336
100,0,100,192,Nordeste,NA,Calhau,-2.480673000000000,-44.249679999999998,NA,NA,NA,NA,NA,10000.000000000000000,100,100,,,,,,,,,,,,,,62831.853071795863798,314159265.358979284763336
101,0,101,193,Nordeste,NA,Olho D'Agu,-2.477097000000000,-44.230155000000003,NA,NA,NA,NA,NA,10000.000000000000000,101,101,,,,,,,,,,,,,,62831.853071795863798,314159265.358979284763336
