OBJECTID,Join_Count,TARGET_FID,id,region,zone,name,lat,long,BUFF_DIST,ORIG_FID,CD_MUN,NM_MUN,SIGLA,AREA_KM2,F1970,F1980,F1991,F2000,F2010,Shape_Leng,Shape_Area,pop_change,Shape_Le_1,Shape_Ar_1
31,1,31,30,Sudeste,NA,Itaguere,-23.786995000000001,-45.971372000000002,10000.000000000000000,31,3506359,Bertioga,SP,491.545999999999992,0.000000000000000,0.000000000000000,0.000000000000000,30039.000000000000000,47645.000000000000000,0.000000000000000,0.000000000000000,17606.000000000000000,62831.853071795863798,314159265.358979284763336
32,2,32,31,Sudeste,NA,Boicucanga,-23.784431000000001,-45.631354999999999,10000.000000000000000,32,3510500,Caraguatatuba,SP,484.947000000000003,15073.000000000000000,33802.000000000000000,52878.000000000000000,78921.000000000000000,100840.000000000000000,0.000000000000000,0.000000000000000,21919.000000000000000,62831.853071795863798,314159265.358979284763336
33,2,33,32,Sudeste,NA,Praia de Baleia,-23.775839000000001,-45.683985999999997,10000.000000000000000,33,3510500,Caraguatatuba,SP,484.947000000000003,15073.000000000000000,33802.000000000000000,52878.000000000000000,78921.000000000000000,100840.000000000000000,0.000000000000000,0.000000000000000,21919.000000000000000,62831.853071795863798,314159265.358979284763336
34,2,34,33,Sudeste,NA,Barra do Sahy,-23.774384999999999,-45.697569999999999,10000.000000000000000,34,3510500,Caraguatatuba,SP,484.947000000000003,15073.000000000000000,33802.000000000000000,52878.000000000000000,78921.000000000000000,100840.000000000000000,0.000000000000000,0.000000000000000,21919.000000000000000,62831.853071795863798,314159265.358979284763336
35,2,35,34,Sudeste,NA,Praia Preta,-23.773009999999999,-45.715814999999999,10000.000000000000000,35,3510500,Caraguatatuba,SP,484.947000000000003,15073.000000000000000,33802.000000000000000,52878.000000000000000,78921.000000000000000,100840.000000000000000,0.000000000000000,0.000000000000000,21919.000000000000000,62831.853071795863798,314159265.358979284763336
36,2,36,35,Sudeste,NA,Bananas Point,-23.771605000000001,-45.706209999999999,10000.000000000000000,36,3510500,Caraguatatuba,SP,484.947000000000003,15073.000000000000000,33802.000000000000000,52878.000000000000000,78921.000000000000000,100840.000000000000000,0.000000000000000,0.000000000000000,21919.000000000000000,62831.853071795863798,314159265.358979284763336
37,3,37,36,Sudeste,NA,Praia do Juquei,-23.768115000000002,-45.745452999999998,10000.000000000000000,37,3506359,Bertioga,SP,491.545999999999992,0.000000000000000,0.000000000000000,0.000000000000000,30039.000000000000000,47645.000000000000000,0.000000000000000,0.000000000000000,17606.000000000000000,62831.853071795863798,314159265.358979284763336
38,4,38,37,Sudeste,NA,Barra do Una,-23.763818000000001,-45.762779999999999,10000.000000000000000,38,3506359,Bertioga,SP,491.545999999999992,0.000000000000000,0.000000000000000,0.000000000000000,30039.000000000000000,47645.000000000000000,0.000000000000000,0.000000000000000,17606.000000000000000,62831.853071795863798,314159265.358979284763336
39,3,39,38,Sudeste,NA,Praia da Boracéia,-23.758372999999999,-45.828777000000002,10000.000000000000000,39,3506359,Bertioga,SP,491.545999999999992,0.000000000000000,0.000000000000000,0.000000000000000,30039.000000000000000,47645.000000000000000,0.000000000000000,0.000000000000000,17606.000000000000000,62831.853071795863798,314159265.358979284763336
40,2,40,39,Sudeste,NA,Praia Dura,-23.496058000000001,-45.171014000000000,10000.000000000000000,40,3532306,Natividade da Serra,SP,833.371999999999957,9957.000000000000000,6888.000000000000000,6458.000000000000000,6952.000000000000000,6678.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,62831.853071795863798,314159265.358979284763336
41,2,41,40,Sudeste,NA,Pereque-Acu,-23.424565000000001,-45.062697000000000,10000.000000000000000,41,3550001,São Luiz do Paraitinga,SP,617.315000000000055,11655.000000000000000,9750.000000000000000,9922.000000000000000,10429.000000000000000,10397.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,62831.853071795863798,314159265.358979284763336
42,2,42,41,Sudeste,NA,Itamambuca,-23.406683000000001,-45.008741000000001,10000.000000000000000,42,3550001,São Luiz do Paraitinga,SP,617.315000000000055,11655.000000000000000,9750.000000000000000,9922.000000000000000,10429.000000000000000,10397.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,62831.853071795863798,314159265.358979284763336
43,2,43,42,Sudeste,NA,Praia da Fazenda,-23.361352000000000,-44.859766000000000,10000.000000000000000,43,3303807,Paraty,RJ,924.296000000000049,15934.000000000000000,20626.000000000000000,23928.000000000000000,29544.000000000000000,37533.000000000000000,0.000000000000000,0.000000000000000,7989.000000000000000,62831.853071795863798,314159265.358979284763336
44,1,44,43,Sudeste,NA,Aventureiro,-23.184405999999999,-44.315804000000000,10000.000000000000000,44,3300100,Angra dos Reis,RJ,813.419999999999959,40276.000000000000000,57869.000000000000000,85571.000000000000000,119247.000000000000000,169511.000000000000000,0.000000000000000,0.000000000000000,50264.000000000000000,62831.853071795863798,314159265.358979284763336
45,1,45,44,Sudeste,NA,Praia do Leste,-23.179746000000002,-44.274093999999998,10000.000000000000000,45,3300100,Angra dos Reis,RJ,813.419999999999959,40276.000000000000000,57869.000000000000000,85571.000000000000000,119247.000000000000000,169511.000000000000000,0.000000000000000,0.000000000000000,50264.000000000000000,62831.853071795863798,314159265.358979284763336
46,1,46,45,Sudeste,NA,Praia do Sul,-23.178656000000000,-44.296756999999999,10000.000000000000000,46,3300100,Angra dos Reis,RJ,813.419999999999959,40276.000000000000000,57869.000000000000000,85571.000000000000000,119247.000000000000000,169511.000000000000000,0.000000000000000,0.000000000000000,50264.000000000000000,62831.853071795863798,314159265.358979284763336
47,1,47,46,Sudeste,NA,Praia do Meio,-23.066913000000000,-43.549809000000003,10000.000000000000000,47,3304557,Rio de Janeiro,RJ,1200.328999999999951,4251918.000000000000000,5090723.000000000000000,5480768.000000000000000,5857904.000000000000000,6320446.000000000000000,0.000000000000000,0.000000000000000,462542.000000000000000,62831.853071795863798,314159265.358979284763336
48,2,48,47,Sudeste,NA,Restinga a Marambaia,-23.061833000000000,-43.591673000000000,10000.000000000000000,48,3302007,Itaguaí,RJ,282.605999999999995,55839.000000000000000,90131.000000000000000,113057.000000000000000,82003.000000000000000,109091.000000000000000,0.000000000000000,0.000000000000000,27088.000000000000000,62831.853071795863798,314159265.358979284763336
