OID_,id,region,zone,name,lat,long,quality,frequency,direction,type,experience,BUFF_DIST,ORIG_FID,Shape_Length,Shape_Area,sum_Length_KILOMETERS,Polyline_Count
90,335,Sudeste,Sao Paulo North,porta do sol,-23.981331999999998,-46.373762999999997,3.5,2,Right and left,Point-break,Experienced surfers,10000.000000000000000,90,62831.853071795863798,314159265.358979284763336,1890.645094715868936,10047
91,336,Sudeste,Sao Paolo South,Itarare,-23.972332999999999,-46.362003999999999,3,3,Right and left,Beach-break,All surfers,10000.000000000000000,91,62831.853071795863798,314159265.358979284763336,1976.204904602267106,10572
92,337,Sudeste,Sao Paolo South,Santos,-23.971744000000001,-46.347208999999999,3,3,Right and left,Beach-break,All surfers,10000.000000000000000,92,62831.853071795863798,314159265.358979284763336,1991.549588588638699,10679
93,338,Sudeste,Sao Paolo South,"Praia de Pernambuco (Pernambuco Beach, in Guaruja)",-23.963431000000000,-46.184033999999997,3.5,4,Right and left,Beach-break,All surfers,10000.000000000000000,93,62831.853071795863798,314159265.358979284763336,589.954087803718835,2705
94,339,Sudeste,Sao Paulo North,Bonete,-23.917383000000001,-45.347785999999999,3.5,4,Right and left,Beach-break,Experienced surfers,10000.000000000000000,94,62831.853071795863798,314159265.358979284763336,50.933409810573721,72
95,340,Sudeste,Sao Paulo North,Sao Pedro,-23.908522000000001,-46.166581000000001,4,3,Right and left,Sand-bar,All surfers,10000.000000000000000,95,62831.853071795863798,314159265.358979284763336,414.342383581528907,1606
96,341,Sudeste,Sao Paolo South,Praia de Iporanga,-23.902191999999999,-46.152724999999997,3.5,2,Left,Reef-rocky,Pros or kamikaze only...,10000.000000000000000,96,62831.853071795863798,314159265.358979284763336,374.997879071848104,1364
97,342,Sudeste,Sao Paolo South,Taguaíba,-23.896726000000001,-46.151353999999998,3.5,4,Right and left,Beach-break,All surfers,10000.000000000000000,97,62831.853071795863798,314159265.358979284763336,380.755768387071612,1363
98,343,Sudeste,Sao Paolo South,praia branca,-23.863427999999999,-46.130795999999997,3.5,3,Left,Beach-break,All surfers,10000.000000000000000,98,62831.853071795863798,314159265.358979284763336,355.487441735380514,1310
99,344,Sudeste,Sao Paulo North,Castelhanos,-23.857582000000001,-45.288905999999997,3.5,3,Right and left,Beach-break,Experienced surfers,10000.000000000000000,99,62831.853071795863798,314159265.358979284763336,123.902931828568910,402
100,345,Sudeste,Sao Paulo North,Enseada - Bertioga,-23.839860000000002,-46.123674000000001,3,4,Right and left,Beach-break,All surfers,10000.000000000000000,100,62831.853071795863798,314159265.358979284763336,419.002306741175403,1509
101,346,Sudeste,Sao Paulo North,Santiago,-23.819897999999998,-45.541420000000002,3.5,2,Right and left,Beach-break,Experienced surfers,10000.000000000000000,101,62831.853071795863798,314159265.358979284763336,148.983492611876983,527
102,347,Sudeste,Sao Paulo North,Guaecá,-23.819123000000001,-45.466200000000001,3.5,3,Right and left,Beach-break,All surfers,10000.000000000000000,102,62831.853071795863798,314159265.358979284763336,321.983179998943854,1181
103,348,Sudeste,Sao Paulo North,Riviera de São Lourenço,-23.808668999999998,-46.022072000000001,3,3,Right and left,Beach-break,All surfers,10000.000000000000000,103,62831.853071795863798,314159265.358979284763336,362.875885425022204,1608
104,349,Sudeste,Sao Paulo North,Paúba,-23.802819000000000,-45.553167999999999,4,2,Right and left,Beach-break,Pros or kamikaze only...,10000.000000000000000,104,62831.853071795863798,314159265.358979284763336,171.537835373158799,614
105,350,Sudeste,Sao Paulo North,Itaguaré,-23.796026000000001,-45.991173000000003,3,4,Right and left,Beach-break,All surfers,10000.000000000000000,105,62831.853071795863798,314159265.358979284763336,336.084821824550488,1808
106,351,Sudeste,Sao Paulo North,Maresias,-23.791530000000002,-45.573456000000000,3.5,4,Right and left,Beach-break,All surfers,10000.000000000000000,106,62831.853071795863798,314159265.358979284763336,208.999420245859227,818
107,352,Sudeste,Sao Paulo North,Camburi,-23.778825999999999,-45.649137000000003,3.5,4,Right and left,Beach-break,All surfers,10000.000000000000000,107,62831.853071795863798,314159265.358979284763336,211.025420387423225,919
108,353,Sudeste,Sao Paulo North,Baleia,-23.777600000000000,-45.670217000000001,3.5,3,Right and left,Beach-break,All surfers,10000.000000000000000,108,62831.853071795863798,314159265.358979284763336,211.096014422187039,865
109,354,Sudeste,Sao Paulo North,Guaratuba,-23.772306000000000,-45.922251000000003,3,3,Right and left,Beach-break,Experienced surfers,10000.000000000000000,109,62831.853071795863798,314159265.358979284763336,207.540500514580316,1227
110,355,Sudeste,Sao Paulo North,Juquehy,-23.768065000000000,-45.738143999999998,3,4,Right and left,Beach-break,All surfers,10000.000000000000000,110,62831.853071795863798,314159265.358979284763336,203.499481513402174,668
111,356,Sudeste,Sao Paulo North,Massaguaçu,-23.590772999999999,-45.334611000000002,3.5,2,Right and left,Beach-break,Experienced surfers,10000.000000000000000,111,62831.853071795863798,314159265.358979284763336,401.694545675618201,1901
112,357,Sudeste,Sao Paulo North,Simão,-23.585149000000001,-45.238287000000000,3.5,3,Right,Beach-break,Experienced surfers,10000.000000000000000,112,62831.853071795863798,314159265.358979284763336,237.569027991163694,967
113,358,Sudeste,Sao Paulo North,Praia do sape,-23.531963000000001,-45.222301000000002,3.5,3,Right and left,Beach-break,All surfers,10000.000000000000000,113,62831.853071795863798,314159265.358979284763336,288.238953553122940,1104
114,359,Sudeste,Sao Paulo North,Lagoinha,-23.521339000000001,-45.205221000000002,3.5,2,Right and left,Beach-break,Beginners wave,10000.000000000000000,114,62831.853071795863798,314159265.358979284763336,281.572760292156431,1028
115,360,Sudeste,Sao Paulo North,Sununga,-23.511344000000001,-45.129432999999999,3.5,3,Right,Beach-break,Pros or kamikaze only...,10000.000000000000000,115,62831.853071795863798,314159265.358979284763336,364.290340899473733,1470
116,361,Sudeste,Sao Paulo North,Toninhas,-23.484739000000001,-45.073771000000001,3,2,Right and left,Beach-break,All surfers,10000.000000000000000,116,62831.853071795863798,314159265.358979284763336,457.562001241535711,1986
117,362,Sudeste,Sao Paulo North,Praia Grande (PG),-23.478835000000000,-45.067290999999997,3,3,Right and left,Beach-break,All surfers,10000.000000000000000,117,62831.853071795863798,314159265.358979284763336,466.746987442964098,2007
118,363,Sudeste,Sao Paulo North,Praia Grande North,-23.467497999999999,-45.062055999999998,3,3,Left,Beach-break,All surfers,10000.000000000000000,118,62831.853071795863798,314159265.358979284763336,482.481705491225341,2034
119,364,Sudeste,Sao Paulo North,Vermelha do Centro,-23.463128000000001,-45.049353000000004,3.5,4,Right and left,Beach-break,All surfers,10000.000000000000000,119,62831.853071795863798,314159265.358979284763336,470.830940408934680,1984
120,365,Sudeste,Sao Paulo North,Patiero,-23.456318000000000,-45.021242999999998,3.5,2,NA,Reef-rocky,Experienced surfers,10000.000000000000000,120,62831.853071795863798,314159265.358979284763336,414.126465350689273,1731
121,366,Sudeste,Sao Paulo North,Vermelha do Norte,-23.416982000000001,-45.035876999999999,3,3,Right and left,Beach-break,All surfers,10000.000000000000000,121,62831.853071795863798,314159265.358979284763336,437.251575829686942,1823
122,367,Sudeste,Sao Paulo North,Itamambuca,-23.402332000000001,-45.001458999999997,3.5,4,Right and left,Beach-break,All surfers,10000.000000000000000,122,62831.853071795863798,314159265.358979284763336,277.563507587398476,1120
123,368,Sudeste,Sao Paulo North,Praia do Felix,-23.389334000000002,-44.972405000000002,3.5,3,Right and left,Beach-break,All surfers,10000.000000000000000,123,62831.853071795863798,314159265.358979284763336,122.999318429759967,334
124,369,Sudeste,Sao Paulo North,Brava do Camburi,-23.370963000000000,-44.799858999999998,3,3,Right and left,Beach-break,Experienced surfers,10000.000000000000000,124,62831.853071795863798,314159265.358979284763336,85.699203493832613,172
125,370,Sudeste,Rio De Janeiro City,Ponta do Cepílio,-23.343990000000002,-44.711781000000002,3.5,3,Right and left,Beach-break,Experienced surfers,10000.000000000000000,125,62831.853071795863798,314159265.358979284763336,131.824701670835339,249
126,371,Sudeste,Rio De Janeiro City,Laranjeiras,-23.336050000000000,-44.674294000000003,3.5,3,Right,Beach-break,All surfers,10000.000000000000000,126,62831.853071795863798,314159265.358979284763336,138.597965728333548,274
127,372,Sudeste,Rio De Janeiro City,Martim de Sa,-23.304048999999999,-44.553486999999997,3.5,3,Right and left,Beach-break,All surfers,10000.000000000000000,127,62831.853071795863798,314159265.358979284763336,61.244107165855610,77
128,373,Sudeste,Rio De Janeiro Norte,Aventureiro,-23.180132000000000,-44.304428000000001,3.5,4,Left,Point-break,All surfers,10000.000000000000000,128,62831.853071795863798,314159265.358979284763336,62.410184223166958,105
