OBJECTID,Join_Count,TARGET_FID,id,region,zone,name,lat,long,quality,frequency,direction,type,experience,BUFF_DIST,ORIG_FID,osm_id,code,fclass,name_1,type_1,Shape_Leng,Shape_Area,Shape_Le_1,Shape_Ar_1
102,0,102,101,Nordeste,NA,Corals,-14.275408000000001,-38.982568999999998,NA,NA,NA,NA,NA,10000.000000000000000,102,,,,,,,,62831.853071795863798,314159265.358979284763336
103,15,103,102,Nordeste,NA,Tony,-13.016731999999999,-38.488781000000003,NA,NA,NA,NA,NA,10000.000000000000000,103,131558753,1500,building,Wish Hotel da Bahia,hotel,208.889537580136761,1381.127273241531839,62831.853071795863798,314159265.358979284763336
104,15,104,103,Nordeste,NA,Meridien,-13.016598000000000,-38.484878999999999,NA,NA,NA,NA,NA,10000.000000000000000,104,131558753,1500,building,Wish Hotel da Bahia,hotel,208.889537580136761,1381.127273241531839,62831.853071795863798,314159265.358979284763336
105,15,105,104,Nordeste,NA,Amaralina,-13.015369000000000,-38.471834000000001,NA,NA,NA,NA,NA,10000.000000000000000,105,131558753,1500,building,Wish Hotel da Bahia,hotel,208.889537580136761,1381.127273241531839,62831.853071795863798,314159265.358979284763336
106,16,106,105,Nordeste,NA,Tubao,-13.010683999999999,-38.461410999999998,NA,NA,NA,NA,NA,10000.000000000000000,106,131558753,1500,building,Wish Hotel da Bahia,hotel,208.889537580136761,1381.127273241531839,62831.853071795863798,314159265.358979284763336
107,15,107,106,Nordeste,NA,Psiu,-12.995919000000001,-38.439390000000003,NA,NA,NA,NA,NA,10000.000000000000000,107,131558753,1500,building,Wish Hotel da Bahia,hotel,208.889537580136761,1381.127273241531839,62831.853071795863798,314159265.358979284763336
108,6,108,107,Nordeste,NA,Alex,-12.973279000000000,-38.406477000000002,NA,NA,NA,NA,NA,10000.000000000000000,108,160179637,1500,building,Mercure Salvador Pituba,hotel,107.206260154380630,618.020466511291261,62831.853071795863798,314159265.358979284763336
109,5,109,108,Nordeste,NA,Terceira Ponte,-12.963839999999999,-38.396822000000000,NA,NA,NA,NA,NA,10000.000000000000000,109,102588003,1500,building,Intercity Hotels,hotel,423.953875550902694,8916.948101612675600,62831.853071795863798,314159265.358979284763336
110,5,110,109,Nordeste,NA,SESC,-12.960485000000000,-38.390998000000003,NA,NA,NA,NA,NA,10000.000000000000000,110,102588003,1500,building,Intercity Hotels,hotel,423.953875550902694,8916.948101612675600,62831.853071795863798,314159265.358979284763336
111,3,111,110,Nordeste,NA,Farol,-12.958147000000000,-38.352812999999998,NA,NA,NA,NA,NA,10000.000000000000000,111,102588003,1500,building,Intercity Hotels,hotel,423.953875550902694,8916.948101612675600,62831.853071795863798,314159265.358979284763336
112,3,112,111,Nordeste,NA,Pedro do Sal,-12.954224000000000,-38.347234000000000,NA,NA,NA,NA,NA,10000.000000000000000,112,102588003,1500,building,Intercity Hotels,hotel,423.953875550902694,8916.948101612675600,62831.853071795863798,314159265.358979284763336
113,5,113,112,Nordeste,NA,Itapoa,-12.952339000000000,-38.369608999999997,NA,NA,NA,NA,NA,10000.000000000000000,113,102588003,1500,building,Intercity Hotels,hotel,423.953875550902694,8916.948101612675600,62831.853071795863798,314159265.358979284763336
114,4,114,113,Nordeste,NA,Seper,-12.952040999999999,-38.343243999999999,NA,NA,NA,NA,NA,10000.000000000000000,114,102588003,1500,building,Intercity Hotels,hotel,423.953875550902694,8916.948101612675600,62831.853071795863798,314159265.358979284763336
115,4,115,114,Nordeste,NA,Corrente,-12.948985000000000,-38.339199999999998,NA,NA,NA,NA,NA,10000.000000000000000,115,102588003,1500,building,Intercity Hotels,hotel,423.953875550902694,8916.948101612675600,62831.853071795863798,314159265.358979284763336
116,4,116,115,Nordeste,NA,Stela Maris,-12.947385000000001,-38.337372000000002,NA,NA,NA,NA,NA,10000.000000000000000,116,102588003,1500,building,Intercity Hotels,hotel,423.953875550902694,8916.948101612675600,62831.853071795863798,314159265.358979284763336
117,4,117,116,Nordeste,NA,Plator,-12.946393000000000,-38.333083999999999,NA,NA,NA,NA,NA,10000.000000000000000,117,102588003,1500,building,Intercity Hotels,hotel,423.953875550902694,8916.948101612675600,62831.853071795863798,314159265.358979284763336
118,4,118,117,Nordeste,NA,Aleluia,-12.926800999999999,-38.312618999999998,NA,NA,NA,NA,NA,10000.000000000000000,118,102588003,1500,building,Intercity Hotels,hotel,423.953875550902694,8916.948101612675600,62831.853071795863798,314159265.358979284763336
119,3,119,118,Nordeste,NA,Ipitanga,-12.920477000000000,-38.309717999999997,NA,NA,NA,NA,NA,10000.000000000000000,119,102588003,1500,building,Intercity Hotels,hotel,423.953875550902694,8916.948101612675600,62831.853071795863798,314159265.358979284763336
120,3,120,119,Nordeste,NA,Vilas,-12.894546000000000,-38.290790999999999,NA,NA,NA,NA,NA,10000.000000000000000,120,102588003,1500,building,Intercity Hotels,hotel,423.953875550902694,8916.948101612675600,62831.853071795863798,314159265.358979284763336
121,2,121,120,Nordeste,NA,Busca Vida,-12.863464000000000,-38.255961999999997,NA,NA,NA,NA,NA,10000.000000000000000,121,102588003,1500,building,Intercity Hotels,hotel,423.953875550902694,8916.948101612675600,62831.853071795863798,314159265.358979284763336
