OID_,id,region,zone,name,lat,long,quality,frequency,direction,type,experience,numerical_direction,numerical_frequency,numerical_experience,numerical_quality,state
325,324,Sul,Parana,Praia Brava Guaratuba,-25.892817,-48.561459,3.5,3,Right and left,Beach-break,All surfers,2,3,1,3.5,Paraná
326,325,Sul,Parana,Direitas de Guaratuba,-25.890046,-48.560289,4,2,Right,Point-break,Experienced surfers,1,2,0,4,Paraná
9,8,Sul,NA,Caioba,-25.838,-48.535,NA,NA,NA,NA,NA,1,1,1,1,Paraná
518,517,Sul,Parana,Brava de Matinhos,-25.834492,-48.535465,3,3,Right and left,Beach-break,All surfers,2,3,1,3,Paraná
327,326,Sul,Parana,Pico de Matinhos,-25.817818,-48.529701,3.5,3,Right,Point-break,Experienced surfers,1,3,0,3.5,Paraná
519,518,Sul,Parana,Pontal do Sul,-25.579974,-48.347616,3,3,Right and left,Beach-break,All surfers,2,3,1,3,Paraná
328,327,Sul,Parana,Ilha do Mel,-25.548327,-48.295383,3.5,3,Right and left,Beach-break,All surfers,2,3,1,3.5,Paraná
329,328,Sul,Parana,Farolete,-25.515314,-48.286114,3.5,4,Left,Point-break,Experienced surfers,1,4,0,3.5,Paraná
10,9,Sudeste,NA,Ilha Comprida,-24.784,-47.595,NA,NA,NA,NA,NA,1,1,1,1,São Paulo
11,10,Sudeste,NA,Iguape,-24.753211,-47.542059,NA,NA,NA,NA,NA,1,1,1,1,São Paulo
520,519,Sudeste,Sao Paolo South,Desertinha,-24.43082,-47.048065,3.5,3,Right and left,Beach-break,All surfers,2,3,1,3.5,São Paulo
330,329,Sudeste,Sao Paolo South,"Guarau, Peruibe SP",-24.369537,-47.0117,3,4,Right and left,Beach-break,All surfers,2,4,1,3,São Paulo
12,11,Sudeste,NA,Peruibe,-24.324427,-46.978886,NA,NA,NA,NA,NA,1,1,1,1,São Paulo
521,520,Sudeste,Sao Paolo South,Cibratel,-24.208026,-46.827104,3.5,NA,Right and left,Beach-break,All surfers,2,1,1,3.5,São Paulo
13,12,Sudeste,NA,Praia dos Pescadores,-24.194862,-46.798882,NA,NA,NA,NA,NA,1,1,1,1,São Paulo
14,13,Sudeste,NA,Itanhaem,-24.151427,-46.707858,NA,NA,NA,NA,NA,1,1,1,1,São Paulo
