fid,name,surf_spot,quality,frequency,direction,type,experience
314,NA,"Praia Grande, São Francisco do Sul",3.0,3,Right and left,Beach-break,All surfers
315,NA,Praia da Saudade,3.5,4,Right and left,Beach-break,All surfers
316,NA,Sao Francisco do Sul,3.0,1,Right,Sand-bar,Beginners wave
317,NA,Píer da Petrobras,3.5,2,Right,Point-break,All surfers
318,NA,Sumidouro,3.5,1,Right and left,Beach-break,Experienced surfers
319,NA,Praia do Forte,3.5,1,Right,Point-break,All surfers
320,NA,Terceira Pedra,3.5,3,Right,Point-break,All surfers
321,NA,Barra do sai mirim,3.0,3,Right and left,Beach-break,All surfers
322,NA,Barrinha,3.0,2,Right,Beach-break,Experienced surfers
323,NA,Guaratuba Praia Brava,3.0,3,Right and left,Beach-break,All surfers
324,NA,Praia Brava Guaratuba,3.5,3,Right and left,Beach-break,All surfers
325,NA,Direitas de Guaratuba,4.0,2,Right,Point-break,Experienced surfers
326,NA,Pico de Matinhos,3.5,3,Right,Point-break,Experienced surfers
327,NA,Ilha do Mel,3.5,3,Right and left,Beach-break,All surfers
328,NA,Farolete,3.5,4,Left,Point-break,Experienced surfers
329,NA,"Guarau, Peruibe SP",3.0,4,Right and left,Beach-break,All surfers
330,NA,Pier de Mongaguá,3.5,4,Right and left,Beach-break,All surfers
331,NA,Pitangueiras,3.0,4,Right and left,Beach-break,All surfers
332,NA,Tombo,3.5,4,Right and left,Beach-break,All surfers
333,NA,Astúrias,3.0,2,Right and left,Beach-break,All surfers
334,NA,Pitangueiras Beach,3.5,4,Right and left,Beach-break,Experienced surfers
335,NA,porta do sol,3.5,2,Right and left,Point-break,Experienced surfers
336,NA,Itarare,3.0,3,Right and left,Beach-break,All surfers
337,NA,Santos,3.0,3,Right and left,Beach-break,All surfers
338,NA,"Praia de Pernambuco (Pernambuco Beach, in Guaruja)",3.5,4,Right and left,Beach-break,All surfers
339,NA,Bonete,3.5,4,Right and left,Beach-break,Experienced surfers
340,NA,Sao Pedro,4.0,3,Right and left,Sand-bar,All surfers
341,NA,Praia de Iporanga,3.5,2,Left,Reef-rocky,Pros or kamikaze only...
342,NA,Taguaíba,3.5,4,Right and left,Beach-break,All surfers
343,NA,praia branca,3.5,3,Left,Beach-break,All surfers
344,NA,Castelhanos,3.5,3,Right and left,Beach-break,Experienced surfers
345,NA,Enseada - Bertioga,3.0,4,Right and left,Beach-break,All surfers
346,NA,Santiago,3.5,2,Right and left,Beach-break,Experienced surfers
347,NA,Guaecá,3.5,3,Right and left,Beach-break,All surfers
348,NA,Riviera de São Lourenço,3.0,3,Right and left,Beach-break,All surfers
349,NA,Paúba,4.0,2,Right and left,Beach-break,Pros or kamikaze only...
350,NA,Itaguaré,3.0,4,Right and left,Beach-break,All surfers
351,NA,Maresias,3.5,4,Right and left,Beach-break,All surfers
352,NA,Camburi,3.5,4,Right and left,Beach-break,All surfers
353,NA,Baleia,3.5,3,Right and left,Beach-break,All surfers
354,NA,Guaratuba,3.0,3,Right and left,Beach-break,Experienced surfers
355,NA,Juquehy,3.0,4,Right and left,Beach-break,All surfers
356,NA,Massaguaçu,3.5,2,Right and left,Beach-break,Experienced surfers
357,NA,Simão,3.5,3,Right,Beach-break,Experienced surfers
358,NA,Praia do sape,3.5,3,Right and left,Beach-break,All surfers
359,NA,Lagoinha,3.5,2,Right and left,Beach-break,Beginners wave
360,NA,Sununga,3.5,3,Right,Beach-break,Pros or kamikaze only...
361,NA,Toninhas,3.0,2,Right and left,Beach-break,All surfers
362,NA,Praia Grande (PG),3.0,3,Right and left,Beach-break,All surfers
363,NA,Praia Grande North,3.0,3,Left,Beach-break,All surfers
364,NA,Vermelha do Centro,3.5,4,Right and left,Beach-break,All surfers
