objectid,name.x,surfline_n.x,normalized_heritage,normalized_priority,normalized_wsr,normalized_protected,normalized_bandeira,normalized_ramsar,response_added,response_index
280,NA,NA,0,0.0451798122,0,0.0764547627,0.6666666667,0,0.7883012416,0.2881988159
281,NA,NA,0,0.024283654,0,0.0734871665,0.6666666667,0,0.7644374872,0.2794743519
282,NA,NA,0,0.0102569902,0,0.0626613468,0.6666666667,0,0.7395850037,0.2703884138
283,NA,NA,0,0.0102569902,0,0.0392720958,0.6666666667,0,0.7161957527,0.2618374258
284,NA,NA,0,0.0102569902,0,0.0173989297,0.6666666667,0,0.6943225866,0.2538407105
285,NA,Camboriu,0,0.0102569902,0,0.008556613,0.6666666667,0,0.6854802699,0.2506080057
286,NA,NA,0,0.0102569902,0,0.0050203609,0.6666666667,0,0.6819440178,0.2493151704
287,NA,NA,0,0.0102471727,0,0.0019892908,0,0,0.0122364635,0.0044735871
288,NA,NA,0,0.0051285293,0,0.0019892908,0,0,0.0071178201,0.0026022378
289,NA,NA,0,6.03302e-4,0,0.0014212786,0,0,0.0020245806,7.401761e-4
290,NA,NA,0,0,0,0.0015735107,0,0,0.0015735107,5.752673e-4
291,NA,NA,0,0,0,0.0015735107,0,0,0.0015735107,5.752673e-4
292,NA,NA,0,0,0,0.0015735107,0,0,0.0015735107,5.752673e-4
293,NA,NA,0,0,0,0.0011080988,0,0,0.0011080988,4.051151e-4
294,NA,NA,0,0,0,3.969547e-4,0.6666666667,0,0.6670636214,0.2438749753
295,NA,NA,0,0,0,3.969547e-4,0.6666666667,0,0.6670636214,0.2438749753
296,NA,NA,0,0,0,0.0024352373,1,0,1.0024352373,0.3664850861
297,NA,NA,0,0,0,0.0022822864,1,0,1.0022822864,0.366429168
298,NA,NA,0,0,0,0.0021943975,1,0,1.0021943975,0.3663970363
299,NA,NA,0,0,0,0.0021943975,0.6666666667,0,0.6688610642,0.244532111
300,NA,NA,0,0,0,0.002391996,0.6666666667,0,0.6690586627,0.2446043519
301,NA,NA,0,0,0,0.003218073,0.6666666667,0,0.6698847397,0.2449063614
302,NA,NA,0,0,0,0.0052572679,0.6666666667,0,0.6719239346,0.2456518804
303,NA,NA,0,0,0,0.0057193644,0.3333333333,0,0.3390526977,0.1239558951
304,NA,NA,0,0.004131605,0,0.0035249669,0,0,0.0076565719,0.0027992027
305,NA,NA,0,0.008865653,0,0.0035249669,0,0,0.0123906199,0.0045299459
306,NA,NA,0,0.0254761133,0,0.0035249669,0,0,0.0290010802,0.0106026434
307,NA,NA,0,0.126009867,0,0.0035249669,0,0,0.1295348339,0.0473572586
308,NA,NA,0,0.1889735823,0,0.0012842438,0,0,0.1902578261,0.0695572673
309,NA,NA,0,0.1043803115,0,0.0030948099,0,0,0.1074751214,0.0392923429
310,NA,Praia Grande,0,0.1941647654,0,0.0943869272,0.6666666667,0,0.9552183593,0.3492228421
311,NA,NA,0,0.1721614555,0,0.084971101,0.6666666667,0,0.9237992232,0.3377361701
312,NA,NA,0,0.1532045778,0,0.0750665013,0.6666666667,0,0.8949377458,0.3271845647
313,NA,NA,0,0.1441361825,0,0.0710619408,0.6666666667,0,0.88186479,0.3224051604
