objectid,name.x,surf_spot.x,normalized_employment,normalized_hotels,normalized_airports,social_added,social_subindex
183,Pedra do Meio,NA,0.0039563216,0.0181818182,0,0.0221381398,0.0102371553
184,Havaizinho,NA,0.0039563216,0.0181818182,0,0.0221381398,0.0102371553
185,Curral,NA,0.0039563216,0.0181818182,0,0.0221381398,0.0102371553
186,Outside,NA,0.0039563216,0.0181818182,0,0.0221381398,0.0102371553
187,Atins,NA,0.0129821798,0.0181818182,0,0.031163998,0.0144109076
188,Ponta d'Areia,NA,0.0835414855,0.0181818182,0,0.1017233037,0.0470390586
189,S&atilde;o Marcos,NA,0.0544058977,0.0181818182,0,0.0725877159,0.0335661318
190,Calhau,NA,0.0272029488,0.0181818182,0,0.045384767,0.0209868991
191,Olho D'Agu,NA,0.0272029488,0.0181818182,0,0.045384767,0.0209868991
192,Ponta do Farol,NA,0.0272029488,0,0,0.0272029488,0.0125792326
193,NA,Hermenegildo,0.0153406719,0,0,0.0153406719,0.0070938589
194,NA,Navio,0.0827586425,0,0,0.0827586425,0.0382693886
195,NA,Tres Marias,0.0275862142,0,0,0.0275862142,0.0127564629
196,NA,Praia do Cassino,0.0275862142,0,0,0.0275862142,0.0127564629
197,NA,Sao Jose do Norte,0.0275862142,0,0,0.0275862142,0.0127564629
198,NA,Quintão,0,0,0,0,0
199,NA,Nova Tramandaí,0.1042785088,0.0181818182,0,0.122460327,0.0566283073
200,NA,Oasis Sul,0.1042785088,0.0181818182,0,0.122460327,0.0566283073
201,NA,Tramandai - Malvina,0.1042785088,0.0181818182,0,0.122460327,0.0566283073
202,NA,Tramandai,0.0910852929,0.0181818182,0,0.1092671111,0.0505274785
203,NA,Rainha do Mar,0.104109021,0,0,0.104109021,0.0481422659
204,NA,Xangri-lá,0.2384950475,0.0363636364,1,1.2748586839,0.5895222644
205,NA,Atlântida - Pier,0.2384950475,0.0363636364,1,1.2748586839,0.5895222644
206,NA,Capao da Canoa,0.2837732151,0.0363636364,1,1.3201368515,0.6104598697
207,NA,Capao Novo,0.2094284087,0,0,0.2094284087,0.0968442317
208,NA,Curumim,0.1552903129,0,0,0.1552903129,0.0718096037
209,NA,Itapeva,0.0666671911,0.1090909091,1,1.1757581002,0.5436960084
210,NA,Guarita,0.098186702,0.1090909091,0,0.2072776111,0.0958496563
211,NA,Cal,0.098186702,0.1090909091,0,0.2072776111,0.0958496563
212,NA,Ilha dos Lobos,0.147280053,0.1090909091,0,0.2563709621,0.118551485
213,NA,Prainha,0.147280053,0.1090909091,0,0.2563709621,0.118551485
